,trade_dt,s_info_windcode,s_dq_open,s_dq_high,s_dq_low,s_dq_close,s_dq_preclose,s_dq_volume
0,2021-06-22,301012,40.18,58.0,38.2,48.85,8.05,143900.14
1,2021-06-23,301012,43.0,44.88,40.4,40.98,48.85,116211.25
2,2021-06-24,301012,39.12,47.88,39.12,47.12,40.98,126401.83
3,2021-06-25,301012,42.5,45.5,40.41,43.78,47.12,94929.62
4,2021-06-28,301012,41.92,42.66,39.03,39.61,43.78,76653.16
5,2021-06-29,301012,38.24,38.36,35.42,35.6,39.61,77093.79
6,2021-06-30,301012,35.81,35.81,34.26,34.76,35.6,52822.18
7,2021-07-01,301012,34.51,35.47,33.51,34.51,34.76,48858.93
8,2021-07-02,301012,34.6,35.45,33.68,34.92,34.51,41041.97
9,2021-07-05,301012,34.6,34.6,33.21,33.4,34.92,36169.86
10,2021-07-06,301012,33.26,36.26,33.26,35.51,33.4,56477.79
11,2021-07-07,301012,34.81,37.46,34.56,36.35,35.51,61753.78
12,2021-07-08,301012,35.35,35.86,33.83,34.58,36.35,47436.04
13,2021-07-09,301012,34.02,34.37,33.84,33.99,34.58,22074.42
14,2021-07-12,301012,33.74,34.27,33.74,34.1,33.99,21219.68
15,2021-07-13,301012,34.1,35.29,33.93,35.2,34.1,37648.45
16,2021-07-14,301012,34.88,34.88,33.91,33.92,35.2,29619.94
17,2021-07-15,301012,33.92,35.7,33.7,35.5,33.92,44436.53
18,2021-07-16,301012,35.13,36.41,34.6,34.72,35.5,37160.94
19,2021-07-19,301012,34.47,34.47,33.33,33.52,34.72,24233.4
20,2021-07-20,301012,33.61,33.72,31.9,32.12,33.52,27175.3
21,2021-07-21,301012,32.11,32.8,31.95,32.34,32.12,17821.99
22,2021-07-22,301012,32.45,32.45,31.1,31.15,32.34,25323.84
23,2021-07-23,301012,31.37,31.37,29.18,29.28,31.15,27178.81
24,2021-07-26,301012,29.02,30.17,29.01,29.92,29.28,22012.95
25,2021-07-27,301012,30.3,30.78,28.56,28.66,29.92,19363.16
26,2021-07-28,301012,28.01,28.27,26.13,27.28,28.66,18751.81
27,2021-07-29,301012,27.29,28.29,27.29,27.95,27.28,16449.76
28,2021-07-30,301012,27.81,33.54,27.79,33.54,27.95,78122.87
29,2021-08-02,301012,34.13,38.85,32.32,35.95,33.54,100288.6
30,2021-08-03,301012,34.38,34.7,33.0,33.98,35.95,60754.14
31,2021-08-04,301012,33.77,36.0,33.3,34.8,33.98,56015.11
32,2021-08-05,301012,34.0,36.46,33.02,35.88,34.8,56605.85
33,2021-08-06,301012,35.5,35.53,34.03,34.76,35.88,35760.49
34,2021-08-09,301012,35.07,35.89,33.76,35.32,34.76,37232.15
35,2021-08-10,301012,34.99,38.78,34.99,36.94,35.32,63352.6
36,2021-08-11,301012,36.25,39.88,35.22,38.7,36.94,72353.15
37,2021-08-12,301012,37.99,38.76,37.19,38.36,38.7,47938.43
38,2021-08-13,301012,37.89,39.28,35.58,35.65,38.36,48293.23
39,2021-08-16,301012,34.83,36.64,33.98,36.5,35.65,41862.35
40,2021-08-17,301012,36.0,39.66,35.6,38.66,36.5,79172.33
41,2021-08-18,301012,38.21,43.8,37.61,37.69,38.66,78426.66
42,2021-08-19,301012,37.26,40.66,36.0,40.35,37.69,73593.91
43,2021-08-20,301012,38.66,39.78,37.78,38.02,40.35,55018.95
44,2021-08-23,301012,37.7,38.08,36.25,38.08,38.02,43973.96
45,2021-08-24,301012,38.08,39.12,36.37,36.53,38.08,40602.91
46,2021-08-25,301012,36.4,36.46,34.57,34.61,36.53,38774.18
47,2021-08-26,301012,34.5,35.25,32.69,32.71,34.61,41066.41
48,2021-08-27,301012,32.01,33.29,31.66,31.69,32.71,27732.24
49,2021-08-30,301012,31.56,32.8,31.36,32.68,31.69,23368.53
50,2021-08-31,301012,32.68,33.09,30.16,30.46,32.68,31635.35
51,2021-09-01,301012,30.31,31.13,30.1,31.04,30.46,19730.24
52,2021-09-02,301012,30.98,33.57,30.68,33.53,31.04,42132.68
53,2021-09-03,301012,33.0,35.49,32.53,33.37,33.53,40431.32
54,2021-09-06,301012,33.5,36.66,33.5,34.18,33.37,34692.53
55,2021-09-07,301012,33.4,34.35,33.18,33.85,34.18,23263.71
56,2021-09-08,301012,33.85,35.5,33.34,34.74,33.85,27248.14
57,2021-09-09,301012,34.3,34.43,32.91,33.0,34.74,24488.57
58,2021-09-10,301012,33.01,37.98,33.01,37.29,33.0,67867.35
59,2021-09-13,301012,36.02,40.0,35.55,38.6,37.29,75087.43
60,2021-09-14,301012,39.69,40.99,37.31,39.69,38.6,63926.79
61,2021-09-15,301012,38.15,39.23,37.4,38.09,39.69,43044.9
62,2021-09-16,301012,37.53,42.5,37.3,41.6,38.09,69515.2
63,2021-09-17,301012,40.5,43.06,39.01,39.8,41.6,51842.66
64,2021-09-22,301012,39.0,41.88,37.78,39.96,39.8,38876.84
65,2021-09-23,301012,40.0,40.5,36.1,36.3,39.96,46330.58
66,2021-09-24,301012,36.3,43.56,35.5,43.56,36.3,84875.74
67,2021-09-27,301012,43.56,51.95,41.56,46.07,43.56,116227.53
68,2021-09-28,301012,45.11,46.44,42.34,43.89,46.07,71704.43
69,2021-09-29,301012,42.35,42.52,39.01,39.29,43.89,56185.38
70,2021-09-30,301012,39.92,42.46,38.4,41.09,39.29,55254.19
71,2021-10-08,301012,41.09,41.66,38.32,39.0,41.09,44543.65
72,2021-10-11,301012,39.07,39.21,36.21,37.9,39.0,31715.92
73,2021-10-12,301012,37.94,38.22,35.66,36.55,37.9,30885.01
74,2021-10-13,301012,36.3,37.11,35.82,36.72,36.55,27147.43
75,2021-10-14,301012,36.6,37.96,34.03,37.96,36.72,47795.3
76,2021-10-15,301012,37.95,37.98,36.03,36.04,37.96,28936.54
77,2021-10-18,301012,35.78,37.36,35.65,36.38,36.04,20618.21
78,2021-10-19,301012,36.1,38.56,36.1,38.47,36.38,45985.13
79,2021-10-20,301012,37.86,39.35,37.7,38.9,38.47,37823.65
80,2021-10-21,301012,38.92,41.56,38.25,41.22,38.9,56658.94
81,2021-10-22,301012,40.36,42.48,39.62,40.18,41.22,40350.98
82,2021-10-25,301012,40.27,41.72,39.7,39.8,40.18,37652.91
83,2021-10-26,301012,39.35,40.88,38.5,40.74,39.8,32907.42
84,2021-10-27,301012,40.26,40.3,37.23,37.38,40.74,37990.74
85,2021-10-28,301012,37.2,43.85,37.12,42.84,37.38,72764.06
86,2021-10-29,301012,42.22,43.25,40.23,41.65,42.84,51093.21
87,2021-11-01,301012,41.64,42.6,40.0,42.6,41.65,46147.52
88,2021-11-02,301012,41.87,44.33,41.16,42.58,42.6,60986.96
89,2021-11-03,301012,41.8,42.81,40.01,42.81,42.58,37126.2
90,2021-11-04,301012,43.66,44.6,41.76,41.91,42.81,46437.59
91,2021-11-05,301012,41.25,43.1,40.66,41.85,41.91,37629.05
92,2021-11-08,301012,41.58,41.58,40.02,40.64,41.85,28355.86
93,2021-11-09,301012,41.03,43.4,40.66,43.39,40.64,46503.28
94,2021-11-10,301012,43.0,45.84,42.65,45.69,43.39,57349.12
95,2021-11-11,301012,45.0,45.69,44.18,44.46,45.69,42577.98
96,2021-11-12,301012,44.51,46.58,44.51,46.06,44.46,47185.8
97,2021-11-15,301012,45.8,49.1,45.19,45.19,46.06,57282.67
98,2021-11-16,301012,44.32,45.0,42.24,43.21,45.19,40878.0
99,2021-11-17,301012,42.91,51.85,42.5,51.85,43.21,79968.64
100,2021-11-18,301012,52.02,54.43,50.45,52.43,51.85,80924.21
101,2021-11-19,301012,52.5,53.9,49.4,51.59,52.43,62085.99
102,2021-11-22,301012,51.82,54.87,50.3,52.03,51.59,60611.01
103,2021-11-23,301012,51.5,62.37,50.01,58.0,52.03,90556.82
104,2021-11-24,301012,58.0,65.0,56.65,59.8,58.0,80221.75
105,2021-11-25,301012,62.5,71.76,60.22,71.76,59.8,71226.14
106,2021-11-26,301012,72.0,84.88,67.68,75.0,71.76,102716.0
107,2021-11-29,301012,73.33,79.99,69.73,76.43,75.0,87380.35
108,2021-11-30,301012,74.92,74.92,67.2,68.94,76.43,87535.76
109,2021-12-01,301012,67.31,68.59,65.88,66.83,68.94,60765.48
110,2021-12-02,301012,66.27,67.95,64.13,67.89,66.83,68520.78
111,2021-12-03,301012,66.36,66.5,59.96,60.24,67.89,69047.33
112,2021-12-06,301012,59.16,60.89,58.15,59.05,60.24,41475.79
113,2021-12-07,301012,59.43,59.43,54.54,55.5,59.05,44734.16
114,2021-12-08,301012,55.65,56.49,55.0,55.3,55.5,32529.42
115,2021-12-09,301012,55.4,56.09,54.61,55.39,55.3,31515.84
116,2021-12-10,301012,55.02,56.37,55.01,56.16,55.39,34416.0
117,2021-12-13,301012,57.2,57.21,53.3,54.97,56.16,40310.32
118,2021-12-14,301012,55.36,60.0,55.36,59.94,54.97,73612.47
119,2021-12-15,301012,59.59,69.9,57.97,66.64,59.94,96118.56
120,2021-12-16,301012,64.64,65.58,62.0,65.47,66.64,53117.44
121,2021-12-17,301012,64.0,71.7,63.83,65.4,65.47,61063.12
122,2021-12-20,301012,64.41,64.41,58.12,59.96,65.4,44457.99
123,2021-12-21,301012,59.0,59.88,56.0,56.47,59.96,34126.36
124,2021-12-22,301012,56.65,57.47,55.03,55.11,56.47,37127.57
125,2021-12-23,301012,55.11,58.6,54.0,58.47,55.11,40113.75
126,2021-12-24,301012,58.0,58.4,55.4,55.4,58.47,28592.74
127,2021-12-27,301012,55.18,57.6,46.0,53.79,55.4,33322.82
128,2021-12-28,301012,53.89,54.96,51.2,52.17,53.79,31044.57
129,2021-12-29,301012,52.26,52.65,50.6,50.68,52.17,23952.94
130,2021-12-30,301012,51.09,52.18,50.8,51.7,50.68,20660.3
131,2021-12-31,301012,52.6,52.6,50.1,50.64,51.7,24888.08
132,2022-01-04,301012,50.7,51.19,48.4,48.55,50.64,25672.15
133,2022-01-05,301012,48.61,48.72,46.05,47.14,48.55,23830.08
134,2022-01-06,301012,46.58,48.65,46.58,47.69,47.14,19100.87
135,2022-01-07,301012,48.0,48.15,45.81,46.02,47.69,15640.56
136,2022-01-10,301012,46.02,46.55,45.6,46.46,46.02,9798.03
137,2022-01-11,301012,46.44,46.71,45.33,45.6,46.46,11246.3
138,2022-01-12,301012,46.97,48.9,46.36,46.93,45.6,24997.52
139,2022-01-13,301012,46.9,47.83,46.16,46.59,46.93,21051.0
140,2022-01-14,301012,47.0,47.48,45.42,45.6,46.59,18200.49
141,2022-01-17,301012,45.5,47.47,45.3,47.0,45.6,18855.86
142,2022-01-18,301012,46.92,49.87,46.11,48.47,47.0,41049.42
143,2022-01-19,301012,47.32,47.57,44.73,45.25,48.47,29325.13
144,2022-01-20,301012,44.79,45.0,40.88,41.61,45.25,33866.88
145,2022-01-21,301012,41.58,47.82,40.2,46.34,41.61,51527.28
146,2022-01-24,301012,47.44,49.88,44.53,47.84,46.34,43083.2
147,2022-01-25,301012,47.92,48.8,46.0,46.81,47.84,29539.61
148,2022-01-26,301012,47.09,50.89,46.3,49.86,46.81,46956.59
149,2022-01-27,301012,48.85,51.39,47.6,48.23,49.86,43302.76
150,2022-01-28,301012,47.12,49.35,44.56,47.2,48.23,31631.92
151,2022-02-07,301012,48.24,49.82,48.24,48.54,47.2,26656.33
152,2022-02-08,301012,48.05,52.57,46.85,51.58,48.54,37633.09
153,2022-02-09,301012,50.85,53.68,50.01,52.89,51.58,41012.82
154,2022-02-10,301012,52.23,56.36,51.36,55.69,52.89,48128.05
