,trade_dt,s_info_windcode,s_dq_open,s_dq_high,s_dq_low,s_dq_close,s_dq_preclose,s_dq_volume
0,2018-03-01,600901,7.5,9.0,7.5,9.0,6.25,7197.29
1,2018-03-02,600901,9.9,9.9,9.9,9.9,9.0,9304.44
2,2018-03-05,600901,10.89,10.89,10.31,10.89,9.9,2496213.57
3,2018-03-06,600901,11.3,11.98,11.28,11.98,10.89,1396451.4
4,2018-03-07,600901,12.0,12.75,11.11,11.79,11.98,3195408.82
5,2018-03-08,600901,11.46,11.94,11.22,11.48,11.79,1691052.95
6,2018-03-09,600901,11.35,11.97,11.35,11.72,11.48,1808321.57
7,2018-03-12,600901,11.83,12.82,11.52,12.43,11.72,2156188.46
8,2018-03-13,600901,12.2,12.33,11.66,11.69,12.43,1699130.18
9,2018-03-14,600901,11.56,11.77,11.37,11.6,11.69,909911.48
10,2018-03-15,600901,11.41,11.5,10.71,10.96,11.6,1288616.13
11,2018-03-16,600901,10.97,11.2,10.9,10.99,10.96,650307.59
12,2018-03-19,600901,10.98,11.19,10.72,11.06,10.99,633680.8
13,2018-03-20,600901,10.8,10.96,10.71,10.85,11.06,580151.37
14,2018-03-21,600901,10.79,11.33,10.78,10.89,10.85,843960.6
15,2018-03-22,600901,10.86,10.96,10.58,10.68,10.89,699205.31
16,2018-03-23,600901,10.14,10.25,9.61,9.61,10.68,1012653.89
17,2018-03-26,600901,9.25,9.65,9.01,9.61,9.61,569550.32
18,2018-03-27,600901,9.73,9.93,9.66,9.75,9.61,582675.38
19,2018-03-28,600901,9.55,10.25,9.41,9.86,9.75,729469.19
20,2018-03-29,600901,9.84,9.99,9.75,9.91,9.86,467763.2
21,2018-03-30,600901,9.99,10.04,9.81,9.88,9.91,430932.47
22,2018-04-02,600901,9.84,9.91,9.64,9.68,9.88,462786.6
23,2018-04-03,600901,9.48,9.54,9.35,9.46,9.68,369627.31
24,2018-04-04,600901,9.54,9.72,9.44,9.45,9.46,358027.8
25,2018-04-09,600901,9.3,9.84,9.23,9.74,9.45,535926.96
26,2018-04-10,600901,9.74,10.08,9.66,10.05,9.74,735370.73
27,2018-04-11,600901,10.08,10.15,9.9,9.93,10.05,562184.36
28,2018-04-12,600901,10.1,10.92,10.06,10.92,9.93,616945.9
29,2018-04-13,600901,12.01,12.01,11.07,11.22,10.92,2381691.18
30,2018-04-16,600901,10.85,11.13,10.32,10.51,11.22,1298726.38
31,2018-04-17,600901,10.41,10.51,9.95,9.99,10.51,852276.99
32,2018-04-18,600901,10.12,10.17,9.79,10.12,9.99,660366.27
33,2018-04-19,600901,10.01,10.1,9.92,9.93,10.12,516271.95
34,2018-04-20,600901,9.83,9.87,9.37,9.44,9.93,634227.74
35,2018-04-23,600901,9.42,9.6,9.33,9.57,9.44,377204.91
36,2018-04-24,600901,9.58,9.88,9.55,9.84,9.57,512953.84
37,2018-04-25,600901,9.73,9.82,9.6,9.8,9.84,378079.0
38,2018-04-26,600901,9.82,10.09,9.61,9.63,9.8,496326.0
39,2018-04-27,600901,9.59,9.71,9.38,9.46,9.63,370807.76
40,2018-05-02,600901,9.56,9.64,9.41,9.51,9.46,257727.74
41,2018-05-03,600901,9.45,9.74,9.4,9.7,9.51,404951.49
42,2018-05-04,600901,9.66,9.74,9.53,9.55,9.7,288499.9
43,2018-05-07,600901,9.58,9.75,9.53,9.7,9.55,332802.02
44,2018-05-08,600901,9.72,10.09,9.67,9.97,9.7,616911.37
45,2018-05-09,600901,9.9,9.94,9.8,9.87,9.97,355888.09
46,2018-05-10,600901,9.91,9.93,9.72,9.82,9.87,305130.12
47,2018-05-11,600901,9.85,9.87,9.71,9.73,9.82,250419.61
48,2018-05-14,600901,9.67,9.78,9.57,9.64,9.73,258003.57
49,2018-05-15,600901,9.62,9.96,9.55,9.87,9.64,364828.67
50,2018-05-16,600901,9.78,10.05,9.76,9.88,9.87,521930.95
51,2018-05-17,600901,10.01,10.09,9.85,9.91,9.88,333198.07
52,2018-05-18,600901,9.84,9.9,9.65,9.81,9.91,297404.53
53,2018-05-21,600901,9.89,10.05,9.83,10.0,9.81,441415.83
54,2018-05-22,600901,9.95,10.8,9.92,10.38,10.0,935296.99
55,2018-05-23,600901,10.23,10.33,10.05,10.06,10.38,577418.49
56,2018-05-24,600901,10.03,10.35,9.98,10.1,10.06,413483.43
57,2018-05-25,600901,10.06,10.51,10.02,10.28,10.1,642777.0
58,2018-05-28,600901,10.27,10.69,10.21,10.45,10.28,699066.17
59,2018-05-29,600901,10.34,10.43,10.09,10.11,10.45,505491.61
60,2018-05-30,600901,9.84,9.84,9.14,9.24,10.11,676158.14
61,2018-05-31,600901,9.35,9.44,9.22,9.4,9.24,328586.55
62,2018-06-01,600901,9.32,9.49,9.27,9.37,9.4,276050.19
